iter	Passed	Remaining
408	4171	6027
409	4181	6016
410	4191	6007
411	4201	5996
412	4212	5986
413	4221	5975
414	4231	5964
415	4240	5953
416	4250	5942
417	4259	5930
418	4267	5917
419	4278	5908
420	4287	5896
421	4297	5885
422	4307	5875
423	4316	5863
424	4327	5854
425	4336	5843
426	4346	5832
427	4357	5823
428	4368	5813
429	4376	5801
430	4385	5790
431	4397	5781
432	4408	5772
433	4418	5762
434	4428	5752
435	4439	5742
436	4448	5731
437	4458	5720
438	4468	5709
439	4479	5701
440	4489	5691
441	4499	5680
442	4509	5669
443	4520	5660
444	4531	5651
445	4542	5641
446	4554	5634
447	4565	5625
448	4576	5616
449	4587	5607
450	4598	5597
451	4609	5588
452	4619	5577
453	4631	5569
454	4645	5563
455	4657	5556
456	4670	5548
457	4680	5538
458	4691	5529
459	4701	5518
460	4713	5511
461	4725	5502
462	4734	5491
463	4745	5482
464	4756	5472
465	4767	5463
466	4777	5452
467	4787	5442
468	4800	5435
469	4811	5425
470	4822	5416
471	4833	5407
472	4843	5396
473	4855	5388
474	4867	5380
475	4878	5370
476	4891	5363
477	4905	5357
478	4919	5351
479	4931	5342
480	4944	5334
481	4955	5325
482	4966	5316
483	4987	5316
484	4998	5307
485	5008	5296
486	5017	5285
487	5027	5274
488	5037	5263
489	5047	5253
490	5064	5250
491	5081	5247
492	5094	5239
493	5103	5227
494	5117	5220
495	5125	5208
496	5134	5196
497	5144	5186
498	5155	5175
499	5164	5164
500	5173	5152
501	5182	5140
502	5192	5130
503	5202	5119
504	5211	5108
505	5220	5097
506	5232	5087
507	5241	5076
508	5251	5065
509	5260	5054
510	5269	5043
511	5279	5032
512	5288	5020
513	5297	5009
514	5308	4999
515	5320	4990
516	5330	4979
517	5340	4969
518	5349	4958
519	5358	4946
520	5368	4935
521	5377	4923
522	5387	4914
523	5397	4903
524	5407	4892
525	5418	4882
526	5427	4871
527	5436	4860
528	5444	4847
529	5454	4837
530	5465	4827
531	5474	4816
532	5484	4805
533	5493	4793
534	5502	4782
535	5512	4772
536	5521	4760
537	5531	4749
538	5539	4738
539	5548	4726
540	5558	4716
541	5567	4704
542	5575	4692
543	5585	4681
544	5595	4671
545	5603	4659
546	5614	4649
547	5623	4638
548	5634	4628
549	5644	4617
550	5654	4607
551	5663	4596
552	5673	4586
553	5684	4576
554	5692	4564
555	5703	4554
556	5711	4542
557	5719	4530
558	5730	4520
559	5738	4509
560	5748	4498
561	5758	4488
562	5767	4476
563	5777	4466
564	5787	4455
565	5797	4445
566	5806	4434
567	5816	4423
568	5825	4412
569	5834	4401
570	5843	4390
571	5853	4379
572	5863	4369
573	5873	4359
574	5882	4348
575	5893	4338
576	5903	4327
577	5913	4317
578	5924	4307
579	5934	4297
580	5943	4286
581	5952	4275
582	5962	4264
583	5971	4253
584	5980	4242
585	5990	4232
586	6000	4222
587	6010	4211
588	6019	4200
589	6029	4190
590	6038	4178
591	6047	4167
592	6057	4157
593	6066	4146
594	6076	4135
595	6086	4125
596	6095	4114
597	6105	4104
598	6113	4092
599	6122	4081
600	6131	4070
601	6140	4059
602	6150	4049
603	6158	4037
604	6169	4027
605	6178	4017
606	6187	4006
607	6195	3994
608	6204	3983
609	6213	3972
610	6223	3962
611	6231	3950
612	6240	3939
613	6248	3928
614	6259	3918
615	6268	3907
616	6277	3896
617	6288	3886
618	6297	3875
619	6307	3865
620	6315	3854
621	6325	3844
622	6335	3833
623	6344	3823
624	6354	3812
625	6363	3802
626	6372	3791
627	6381	3780
628	6391	3769
629	6401	3759
630	6409	3748
631	6419	3738
632	6429	3727
633	6439	3717
634	6448	3706
635	6457	3696
636	6466	3684
637	6475	3674
638	6484	3663
639	6493	3652
640	6503	3642
641	6511	3631
642	6521	3620
643	6529	3609
644	6539	3599
645	6549	3588
646	6559	3579
647	6570	3569
648	6580	3558
649	6592	3549
650	6601	3538
651	6610	3528
652	6620	3518
653	6630	3508
654	6638	3496
655	6648	3486
656	6657	3475
657	6666	3464
658	6674	3453
659	6684	3443
660	6693	3432
661	6702	3422
662	6713	3412
663	6721	3401
664	6731	3390
665	6740	3380
666	6748	3369
667	6758	3359
668	6769	3349
669	6778	3338
670	6788	3328
671	6798	3318
672	6809	3308
673	6832	3304
674	6841	3293
675	6850	3283
676	6861	3273
677	6871	3263
678	6880	3252
679	6890	3242
680	6900	3232
681	6909	3221
682	6919	3211
683	6929	3201
684	6939	3191
685	6949	3181
686	6960	3171
687	6969	3160
688	6979	3150
689	6988	3139
690	6996	3128
691	7007	3119
692	7018	3108
693	7028	3098
694	7037	3088
695	7048	3078
696	7057	3067
697	7067	3057
698	7077	3047
699	7086	3037
700	7096	3026
701	7104	3015
702	7113	3005
703	7121	2994
704	7130	2983
705	7139	2973
706	7150	2963
707	7159	2952
708	7168	2942
709	7178	2932
710	7186	2921
711	7196	2910
712	7206	2900
713	7216	2890
714	7225	2880
715	7234	2869
716	7242	2858
717	7252	2848
718	7266	2839
719	7276	2829
720	7286	2819
721	7296	2809
722	7304	2798
723	7314	2788
724	7323	2777
725	7332	2767
726	7343	2757
727	7353	2747
728	7363	2737
729	7371	2726
730	7380	2715
731	7389	2705
732	7397	2694
733	7407	2684
734	7417	2674
735	7426	2664
736	7435	2653
737	7445	2643
738	7453	2632
739	7462	2622
740	7473	2612
741	7482	2601
742	7492	2591
743	7502	2581
744	7512	2571
745	7521	2561
746	7530	2550
747	7541	2540
748	7550	2530
749	7561	2520
750	7570	2510
751	7579	2499
752	7588	2489
753	7598	2479
754	7608	2469
755	7617	2458
756	7627	2448
757	7636	2438
758	7647	2428
759	7656	2417
760	7665	2407
761	7674	2397
762	7684	2386
763	7693	2376
764	7703	2366
765	7712	2356
766	7722	2345
767	7732	2335
768	7742	2325
769	7752	2315
770	7761	2305
771	7770	2294
772	7780	2284
773	7789	2274
774	7800	2264
775	7809	2254
776	7817	2243
777	7826	2233
778	7836	2223
779	7847	2213
780	7856	2203
781	7866	2192
782	7876	2182
783	7885	2172
784	7895	2162
785	7904	2152
786	7913	2141
787	7922	2131
788	7932	2121
789	7941	2111
790	7950	2100
791	7961	2090
792	7972	2080
793	7982	2071
794	7992	2061
795	8001	2050
796	8011	2040
797	8020	2030
798	8029	2020
799	8039	2009
800	8048	1999
801	8057	1989
802	8066	1979
803	8075	1968
804	8085	1958
805	8095	1948
806	8104	1938
807	8113	1927
808	8124	1918
809	8134	1908
810	8145	1898
811	8153	1887
812	8164	1877
813	8173	1867
814	8185	1858
815	8195	1848
816	8206	1838
817	8217	1828
818	8227	1818
819	8238	1808
820	8248	1798
821	8259	1788
822	8270	1778
823	8280	1768
824	8290	1758
825	8301	1748
826	8311	1738
827	8322	1728
828	8331	1718
829	8342	1708
830	8353	1698
831	8363	1688
832	8373	1678
833	8384	1668
834	8395	1659
835	8405	1649
836	8416	1639
837	8426	1629
838	8438	1619
839	8450	1609
840	8461	1599
841	8474	1590
842	8486	1580
843	8497	1570
844	8507	1560
845	8517	1550
846	8527	1540
847	8537	1530
848	8547	1520
849	8557	1510
850	8568	1500
851	8579	1490
852	8589	1480
853	8600	1470
854	8610	1460
855	8620	1450
856	8631	1440
857	8639	1429
858	8649	1419
859	8658	1409
860	8667	1399
861	8678	1389
862	8688	1379
863	8697	1369
864	8707	1358
865	8716	1348
866	8726	1338
867	8736	1328
868	8745	1318
869	8755	1308
870	8764	1298
871	8773	1287
872	8782	1277
873	8790	1267
874	8800	1257
875	8809	1246
876	8818	1236
877	8827	1226
878	8836	1216
879	8846	1206
880	8855	1196
881	8864	1186
882	8874	1175
883	8883	1165
884	8891	1155
885	8900	1145
886	8910	1135
887	8919	1124
888	8931	1115
889	8942	1105
890	8952	1095
891	8962	1085
892	8971	1075
893	8981	1064
894	8992	1054
895	9001	1044
896	9011	1034
897	9020	1024
898	9030	1014
899	9038	1004
900	9047	994
901	9055	983
902	9065	973
903	9074	963
904	9083	953
905	9094	943
906	9104	933
907	9112	923
908	9122	913
909	9131	903
910	9141	893
911	9150	882
912	9159	872
913	9169	862
914	9178	852
915	9188	842
916	9199	832
917	9224	823
918	9233	813
919	9241	803
920	9250	793
921	9260	783
922	9268	773
923	9278	763
924	9286	752
925	9295	742
926	9304	732
927	9314	722
928	9323	712
929	9331	702
930	9340	692
931	9349	682
932	9358	672
933	9367	661
934	9378	651
935	9389	641
936	9399	631
937	9409	621
938	9420	611
939	9429	601
940	9438	591
941	9448	581
942	9456	571
943	9466	561
944	9476	551
945	9484	541
946	9493	531
947	9503	521
948	9512	511
949	9522	501
950	9531	491
951	9540	481
952	9549	470
953	9558	460
954	9568	450
955	9578	440
956	9587	430
957	9597	420
958	9607	410
959	9616	400
960	9627	390
961	9636	380
962	9646	370
963	9657	360
964	9666	350
965	9675	340
966	9683	330
967	9693	320
968	9702	310
969	9712	300
970	9722	290
971	9732	280
972	9742	270
973	9751	260
974	9759	250
975	9769	240
976	9778	230
977	9790	220
978	9799	210
979	9808	200
980	9818	190
981	9826	180
982	9835	170
983	9846	160
984	9857	150
985	9867	140
986	9876	130
987	9887	120
988	9895	110
989	9904	100
990	9914	90
991	9922	80
992	9932	70
993	9943	60
994	9956	50
995	9967	40
996	9977	30
997	9986	20
998	9995	10
999	10004	0
