iter	MultiClass
0	0.9611690146
1	0.8579352732
2	0.7745830872
3	0.7026037069
4	0.6431513418
5	0.5910028799
6	0.5461620926
7	0.507284949
8	0.4689584155
9	0.4374684009
10	0.4088321518
11	0.3849259953
12	0.3615655322
13	0.340249797
14	0.3199826473
15	0.3048711728
16	0.2896238152
17	0.2747513853
18	0.2616760034
19	0.2481260424
20	0.2361346742
21	0.2255512583
22	0.2156110962
23	0.2070932834
24	0.1990344275
25	0.1905085138
26	0.1834440727
27	0.1771945978
28	0.1719418993
29	0.1659447013
30	0.1605263992
31	0.1550537547
32	0.1502305362
33	0.1458381889
34	0.1415866676
35	0.1377726593
36	0.134736206
37	0.1312372087
38	0.128573371
39	0.1254248905
40	0.122452537
41	0.1192643992
42	0.1171377371
43	0.1152508762
44	0.1128693738
45	0.1114388156
46	0.1095281351
47	0.1073816566
48	0.1050958736
49	0.1028531512
50	0.1009835408
51	0.09930374111
52	0.09740969332
53	0.09557482798
54	0.0940648297
55	0.09265004758
56	0.09093011117
57	0.0899258672
58	0.08847880234
59	0.08777241985
60	0.08646422255
61	0.08525845721
62	0.0842011475
63	0.08301424995
64	0.08204698377
65	0.0812311521
66	0.08008154708
67	0.07914140096
68	0.07855531606
69	0.07750227425
70	0.07695100116
71	0.07623209144
72	0.07586664302
73	0.0749423172
74	0.07408911665
75	0.073399916
76	0.07265036353
77	0.07209845183
78	0.07143890614
79	0.07091298375
80	0.07004915501
81	0.06937812576
82	0.0685743069
83	0.0678133474
84	0.06769454655
85	0.06750418661
86	0.06682285689
87	0.0662295546
88	0.06568706008
89	0.06545577423
90	0.06506037278
91	0.06481289705
92	0.06417890739
93	0.06408756381
94	0.06350200406
95	0.06341916351
96	0.06314186485
97	0.06244822835
98	0.06194976286
99	0.06165121221
100	0.06117059316
101	0.06094489376
102	0.06060863692
103	0.06032933346
104	0.06008396684
105	0.05946473402
106	0.05916106769
107	0.05873566848
108	0.05862172488
109	0.05840562472
110	0.05792839674
111	0.05780131808
112	0.05758153114
113	0.05716353612
114	0.05691285953
115	0.05648985281
116	0.05611018869
117	0.05569518722
118	0.05533505994
119	0.05493711209
120	0.05436195644
121	0.05400333793
122	0.05359170032
123	0.05328164182
124	0.05290262854
125	0.05284064758
126	0.05269537676
127	0.05248144028
128	0.05236100473
129	0.05203940122
